"year","Parent.Organization","State.Name","Enrolled.x","Enrolled.y","percent"
2010,"Health Net, Inc.","alabama",0,0,0
2010,"Health Net, Inc.","alaska",0,0,0
2010,"Health Net, Inc.","arizona",332877,49100,14
2010,"Health Net, Inc.","arkansas",0,0,0
2010,"Health Net, Inc.","california",1677390,131363,7
2010,"Health Net, Inc.","colorado",0,0,0
2010,"Health Net, Inc.","connecticut",102618,57716,56
2010,"Health Net, Inc.","delaware",0,0,0
2010,"Health Net, Inc.","district of columbia",0,0,0
2010,"Health Net, Inc.","florida",0,0,0
2010,"Health Net, Inc.","georgia",0,0,0
2010,"Health Net, Inc.","hawaii",0,0,0
2010,"Health Net, Inc.","idaho",0,0,0
2010,"Health Net, Inc.","illinois",0,0,0
2010,"Health Net, Inc.","indiana",0,0,0
2010,"Health Net, Inc.","iowa",0,0,0
2010,"Health Net, Inc.","kansas",0,0,0
2010,"Health Net, Inc.","kentucky",0,0,0
2010,"Health Net, Inc.","louisiana",0,0,0
2010,"Health Net, Inc.","maine",0,0,0
2010,"Health Net, Inc.","maryland",0,0,0
2010,"Health Net, Inc.","massachusetts",0,0,0
2010,"Health Net, Inc.","michigan",0,0,0
2010,"Health Net, Inc.","minnesota",0,0,0
2010,"Health Net, Inc.","mississippi",0,0,0
2010,"Health Net, Inc.","missouri",0,0,0
2010,"Health Net, Inc.","montana",0,0,0
2010,"Health Net, Inc.","nebraska",0,0,0
2010,"Health Net, Inc.","nevada",106761,27,0
2010,"Health Net, Inc.","new hampshire",0,0,0
2010,"Health Net, Inc.","new jersey",0,0,0
2010,"Health Net, Inc.","new mexico",0,0,0
2010,"Health Net, Inc.","new york",0,0,0
2010,"Health Net, Inc.","north carolina",0,0,0
2010,"Health Net, Inc.","north dakota",0,0,0
2010,"Health Net, Inc.","ohio",0,0,0
2010,"Health Net, Inc.","oklahoma",0,0,0
2010,"Health Net, Inc.","oregon",255304,35103,13
2010,"Health Net, Inc.","pennsylvania",0,0,0
2010,"Health Net, Inc.","rhode island",0,0,0
2010,"Health Net, Inc.","south carolina",0,0,0
2010,"Health Net, Inc.","south dakota",0,0,0
2010,"Health Net, Inc.","tennessee",0,0,0
2010,"Health Net, Inc.","texas",574725,14,0
2010,"Health Net, Inc.","utah",0,0,0
2010,"Health Net, Inc.","vermont",0,0,0
2010,"Health Net, Inc.","virginia",0,0,0
2010,"Health Net, Inc.","washington",239936,3049,1
