"year","Parent.Organization","State.Name","Enrolled.x","Enrolled.y","percent"
2010,"Humana Inc.","alabama",177683,14645,8
2010,"Humana Inc.","alaska",0,0,0
2010,"Humana Inc.","arizona",332877,36660,11
2010,"Humana Inc.","arkansas",72378,23813,32
2010,"Humana Inc.","california",1677390,10042,0
2010,"Humana Inc.","colorado",205490,18521,9
2010,"Humana Inc.","connecticut",102618,507,0
2010,"Humana Inc.","delaware",4896,98,2
2010,"Humana Inc.","district of columbia",7514,14,0
2010,"Humana Inc.","florida",1007528,378505,37
2010,"Humana Inc.","georgia",254942,47162,18
2010,"Humana Inc.","hawaii",85380,5142,6
2010,"Humana Inc.","idaho",63826,9984,15
2010,"Humana Inc.","illinois",168098,70205,41
2010,"Humana Inc.","indiana",158433,48566,30
2010,"Humana Inc.","iowa",65069,20086,30
2010,"Humana Inc.","kansas",43133,24352,56
2010,"Humana Inc.","kentucky",114447,64854,56
2010,"Humana Inc.","louisiana",161167,88054,54
2010,"Humana Inc.","maine",32435,52,0
2010,"Humana Inc.","maryland",61240,403,0
2010,"Humana Inc.","massachusetts",201326,604,0
2010,"Humana Inc.","michigan",263108,36242,13
2010,"Humana Inc.","minnesota",324891,27405,8
2010,"Humana Inc.","mississippi",45169,19198,42
2010,"Humana Inc.","missouri",205869,43496,21
2010,"Humana Inc.","montana",29046,11938,41
2010,"Humana Inc.","nebraska",29654,4900,16
2010,"Humana Inc.","nevada",106761,28938,27
2010,"Humana Inc.","new hampshire",15047,920,6
2010,"Humana Inc.","new jersey",163133,965,0
2010,"Humana Inc.","new mexico",76600,8395,10
2010,"Humana Inc.","new york",894879,5792,0
2010,"Humana Inc.","north carolina",258304,59520,23
2010,"Humana Inc.","north dakota",8058,3651,45
2010,"Humana Inc.","ohio",624094,174281,27
2010,"Humana Inc.","oklahoma",88788,16285,18
2010,"Humana Inc.","oregon",255304,3283,1
2010,"Humana Inc.","pennsylvania",859134,29027,3
2010,"Humana Inc.","rhode island",62850,16,0
2010,"Humana Inc.","south carolina",120077,31755,26
2010,"Humana Inc.","south dakota",9711,5270,54
2010,"Humana Inc.","tennessee",254006,74545,29
2010,"Humana Inc.","texas",574725,101418,17
2010,"Humana Inc.","utah",92512,19298,20
2010,"Humana Inc.","vermont",4262,64,1
2010,"Humana Inc.","virginia",157824,54152,34
2010,"Humana Inc.","washington",239936,6755,2
2010,"Humana Inc.","west virginia",73253,48876,66
2010,"Humana Inc.","wisconsin",263847,50131,19
2010,"Humana Inc.","wyoming",4040,1962,48
2011,"Humana Inc.","alabama",175092,25837,14
2011,"Humana Inc.","alaska",0,0,0
2011,"Humana Inc.","arizona",345355,39290,11
2011,"Humana Inc.","arkansas",77452,27349,35
2011,"Humana Inc.","california",1755091,5965,0
2011,"Humana Inc.","colorado",212820,24077,11
2011,"Humana Inc.","connecticut",111398,448,0
2011,"Humana Inc.","delaware",5542,90,1
2011,"Humana Inc.","district of columbia",7560,35,0
2011,"Humana Inc.","florida",1088491,382485,35
2011,"Humana Inc.","georgia",277308,59033,21
2011,"Humana Inc.","hawaii",90690,5139,5
2011,"Humana Inc.","idaho",65381,10738,16
2011,"Humana Inc.","illinois",163722,74306,45
2011,"Humana Inc.","indiana",174936,52971,30
2011,"Humana Inc.","iowa",65712,20202,30
2011,"Humana Inc.","kansas",46116,25357,54
2011,"Humana Inc.","kentucky",123536,70514,57
2011,"Humana Inc.","louisiana",166932,95965,57
2011,"Humana Inc.","maine",36193,49,0
2011,"Humana Inc.","maryland",63425,465,0
2011,"Humana Inc.","massachusetts",190020,546,0
2011,"Humana Inc.","michigan",403151,40142,9
2011,"Humana Inc.","minnesota",355837,32681,9
2011,"Humana Inc.","mississippi",47267,23938,50
2011,"Humana Inc.","missouri",214941,48350,22
2011,"Humana Inc.","montana",24736,8568,34
2011,"Humana Inc.","nebraska",29020,4761,16
2011,"Humana Inc.","nevada",111522,30664,27
2011,"Humana Inc.","new hampshire",12945,1051,8
2011,"Humana Inc.","new jersey",172628,935,0
2011,"Humana Inc.","new mexico",82527,9911,12
2011,"Humana Inc.","new york",935902,3232,0
2011,"Humana Inc.","north carolina",266587,62361,23
2011,"Humana Inc.","north dakota",10491,3416,32
2011,"Humana Inc.","ohio",646372,175493,27
2011,"Humana Inc.","oklahoma",89920,18900,21
2011,"Humana Inc.","oregon",256495,1737,0
2011,"Humana Inc.","pennsylvania",871693,26895,3
2011,"Humana Inc.","rhode island",63938,15,0
2011,"Humana Inc.","south carolina",127371,42065,33
2011,"Humana Inc.","south dakota",12839,5567,43
2011,"Humana Inc.","tennessee",271346,88715,32
2011,"Humana Inc.","texas",612186,120331,19
2011,"Humana Inc.","utah",98233,20692,21
2011,"Humana Inc.","vermont",5897,62,1
2011,"Humana Inc.","virginia",159155,59268,37
2011,"Humana Inc.","washington",253249,18872,7
2011,"Humana Inc.","west virginia",74889,53723,71
2011,"Humana Inc.","wisconsin",278413,56613,20
2011,"Humana Inc.","wyoming",3440,1500,43
2012,"Humana Inc.","alabama",190041,33011,17
2012,"Humana Inc.","alaska",0,0,0
2012,"Humana Inc.","arizona",368906,48334,13
2012,"Humana Inc.","arkansas",89399,40959,45
2012,"Humana Inc.","california",1841117,28039,1
2012,"Humana Inc.","colorado",232148,28300,12
2012,"Humana Inc.","connecticut",127458,471,0
2012,"Humana Inc.","delaware",7791,115,1
2012,"Humana Inc.","district of columbia",8136,42,0
2012,"Humana Inc.","florida",1222488,400071,32
2012,"Humana Inc.","georgia",317354,70407,22
2012,"Humana Inc.","hawaii",98560,5604,5
2012,"Humana Inc.","idaho",72584,14306,19
2012,"Humana Inc.","illinois",190319,81088,42
2012,"Humana Inc.","indiana",202127,56315,27
2012,"Humana Inc.","iowa",72593,23317,32
2012,"Humana Inc.","kansas",51785,26892,51
2012,"Humana Inc.","kentucky",131876,74885,56
2012,"Humana Inc.","louisiana",183411,111290,60
2012,"Humana Inc.","maine",44106,6472,14
2012,"Humana Inc.","maryland",71103,586,0
2012,"Humana Inc.","massachusetts",202303,578,0
2012,"Humana Inc.","michigan",446776,52486,11
2012,"Humana Inc.","minnesota",391493,37951,9
2012,"Humana Inc.","mississippi",57253,29671,51
2012,"Humana Inc.","missouri",240958,57078,23
2012,"Humana Inc.","montana",27545,8894,32
2012,"Humana Inc.","nebraska",33477,6906,20
2012,"Humana Inc.","nevada",121918,36877,30
2012,"Humana Inc.","new hampshire",11016,2688,24
2012,"Humana Inc.","new jersey",205387,1043,0
2012,"Humana Inc.","new mexico",91233,12267,13
2012,"Humana Inc.","new york",1016317,6736,0
2012,"Humana Inc.","north carolina",302444,71641,23
2012,"Humana Inc.","north dakota",12782,3333,26
2012,"Humana Inc.","ohio",719504,192443,26
2012,"Humana Inc.","oklahoma",98339,23343,23
2012,"Humana Inc.","oregon",273397,2472,0
2012,"Humana Inc.","pennsylvania",910088,29698,3
2012,"Humana Inc.","rhode island",66890,34,0
2012,"Humana Inc.","south carolina",148582,56952,38
2012,"Humana Inc.","south dakota",17014,6722,39
2012,"Humana Inc.","tennessee",307976,104310,33
2012,"Humana Inc.","texas",730141,198844,27
2012,"Humana Inc.","utah",105667,23839,22
2012,"Humana Inc.","vermont",7491,173,2
2012,"Humana Inc.","virginia",177942,76263,42
2012,"Humana Inc.","washington",293905,32079,10
2012,"Humana Inc.","west virginia",81692,59351,72
2012,"Humana Inc.","wisconsin",308357,63155,20
2012,"Humana Inc.","wyoming",3434,1866,54
2013,"Humana Inc.","alabama",207851,38165,18
2013,"Humana Inc.","alaska",64,12,18
2013,"Humana Inc.","arizona",388581,47827,12
2013,"Humana Inc.","arkansas",103256,39099,37
2013,"Humana Inc.","california",1977873,25217,1
2013,"Humana Inc.","colorado",250176,30737,12
2013,"Humana Inc.","connecticut",140796,404,0
2013,"Humana Inc.","delaware",11335,95,0
2013,"Humana Inc.","district of columbia",8938,18,0
2013,"Humana Inc.","florida",1344494,426080,31
2013,"Humana Inc.","georgia",367214,77950,21
2013,"Humana Inc.","hawaii",105468,4134,3
2013,"Humana Inc.","idaho",77139,10471,13
2013,"Humana Inc.","illinois",212789,77858,36
2013,"Humana Inc.","indiana",230733,60498,26
2013,"Humana Inc.","iowa",76020,23290,30
2013,"Humana Inc.","kansas",56317,27501,48
2013,"Humana Inc.","kentucky",185317,123446,66
2013,"Humana Inc.","louisiana",197140,118551,60
2013,"Humana Inc.","maine",51824,5227,10
2013,"Humana Inc.","maryland",74073,390,0
2013,"Humana Inc.","massachusetts",212054,505,0
2013,"Humana Inc.","michigan",492664,56670,11
2013,"Humana Inc.","minnesota",427950,39940,9
2013,"Humana Inc.","mississippi",65755,35048,53
2013,"Humana Inc.","missouri",265238,58814,22
2013,"Humana Inc.","montana",28377,7059,24
2013,"Humana Inc.","nebraska",33768,7691,22
2013,"Humana Inc.","nevada",127839,39139,30
2013,"Humana Inc.","new hampshire",13666,3443,25
2013,"Humana Inc.","new jersey",229530,983,0
2013,"Humana Inc.","new mexico",101010,12748,12
2013,"Humana Inc.","new york",1087016,8751,0
