"year","Parent.Organization","State.Name","Enrolled.x","Enrolled.y","percent"
2010,"Kaiser Foundation Health Plan, Inc.","alabama",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","alaska",136,14,10
2010,"Kaiser Foundation Health Plan, Inc.","arizona",332877,643,0
2010,"Kaiser Foundation Health Plan, Inc.","arkansas",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","california",1677390,750382,44
2010,"Kaiser Foundation Health Plan, Inc.","colorado",205490,68817,33
2010,"Kaiser Foundation Health Plan, Inc.","connecticut",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","delaware",4896,16,0
2010,"Kaiser Foundation Health Plan, Inc.","district of columbia",7514,5010,66
2010,"Kaiser Foundation Health Plan, Inc.","florida",1007528,56,0
2010,"Kaiser Foundation Health Plan, Inc.","georgia",254942,14657,5
2010,"Kaiser Foundation Health Plan, Inc.","hawaii",85380,24590,28
2010,"Kaiser Foundation Health Plan, Inc.","idaho",63826,45,0
2010,"Kaiser Foundation Health Plan, Inc.","illinois",168098,19,0
2010,"Kaiser Foundation Health Plan, Inc.","indiana",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","iowa",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","kansas",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","kentucky",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","louisiana",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","maine",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","maryland",61240,22548,36
2010,"Kaiser Foundation Health Plan, Inc.","massachusetts",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","michigan",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","minnesota",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","mississippi",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","missouri",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","montana",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","nebraska",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","nevada",106761,791,0
2010,"Kaiser Foundation Health Plan, Inc.","new hampshire",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","new jersey",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","new mexico",76600,16,0
2010,"Kaiser Foundation Health Plan, Inc.","new york",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","north carolina",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","north dakota",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","ohio",624094,19527,3
2010,"Kaiser Foundation Health Plan, Inc.","oklahoma",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","oregon",255304,39470,15
2010,"Kaiser Foundation Health Plan, Inc.","pennsylvania",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","rhode island",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","south carolina",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","south dakota",9711,38,0
2010,"Kaiser Foundation Health Plan, Inc.","tennessee",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","texas",574725,206,0
2010,"Kaiser Foundation Health Plan, Inc.","utah",92512,15,0
2010,"Kaiser Foundation Health Plan, Inc.","vermont",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","virginia",157824,12833,8
2010,"Kaiser Foundation Health Plan, Inc.","washington",239936,17431,7
2010,"Kaiser Foundation Health Plan, Inc.","west virginia",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","wisconsin",0,0,0
2010,"Kaiser Foundation Health Plan, Inc.","wyoming",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","alabama",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","alaska",139,14,10
2011,"Kaiser Foundation Health Plan, Inc.","arizona",345355,698,0
2011,"Kaiser Foundation Health Plan, Inc.","arkansas",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","california",1755091,789087,44
2011,"Kaiser Foundation Health Plan, Inc.","colorado",212820,72480,34
2011,"Kaiser Foundation Health Plan, Inc.","connecticut",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","delaware",5542,14,0
2011,"Kaiser Foundation Health Plan, Inc.","district of columbia",7560,5074,67
2011,"Kaiser Foundation Health Plan, Inc.","florida",1088491,79,0
2011,"Kaiser Foundation Health Plan, Inc.","georgia",277308,16131,5
2011,"Kaiser Foundation Health Plan, Inc.","hawaii",90690,25461,28
2011,"Kaiser Foundation Health Plan, Inc.","idaho",65381,62,0
2011,"Kaiser Foundation Health Plan, Inc.","illinois",163722,25,0
2011,"Kaiser Foundation Health Plan, Inc.","indiana",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","iowa",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","kansas",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","kentucky",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","louisiana",166932,11,0
2011,"Kaiser Foundation Health Plan, Inc.","maine",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","maryland",63425,24265,38
2011,"Kaiser Foundation Health Plan, Inc.","massachusetts",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","michigan",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","minnesota",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","mississippi",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","missouri",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","montana",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","nebraska",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","nevada",111522,814,0
2011,"Kaiser Foundation Health Plan, Inc.","new hampshire",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","new jersey",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","new mexico",82527,19,0
2011,"Kaiser Foundation Health Plan, Inc.","new york",935902,17,0
2011,"Kaiser Foundation Health Plan, Inc.","north carolina",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","north dakota",0,0,0
2011,"Kaiser Foundation Health Plan, Inc.","ohio",646372,19012,2
