"year","Parent.Organization","State.Name","Enrolled.x","Enrolled.y","percent"
2010,"UnitedHealth Group, Inc.","alabama",177683,35856,20
2010,"UnitedHealth Group, Inc.","alaska",136,109,80
2010,"UnitedHealth Group, Inc.","arizona",332877,136271,40
2010,"UnitedHealth Group, Inc.","arkansas",72378,6523,9
2010,"UnitedHealth Group, Inc.","california",1677390,318956,19
2010,"UnitedHealth Group, Inc.","colorado",205490,78422,38
2010,"UnitedHealth Group, Inc.","connecticut",102618,14113,13
2010,"UnitedHealth Group, Inc.","delaware",4896,389,7
2010,"UnitedHealth Group, Inc.","district of columbia",7514,577,7
2010,"UnitedHealth Group, Inc.","florida",1007528,173454,17
2010,"UnitedHealth Group, Inc.","georgia",254942,121089,47
2010,"UnitedHealth Group, Inc.","hawaii",85380,16513,19
2010,"UnitedHealth Group, Inc.","idaho",63826,15687,24
2010,"UnitedHealth Group, Inc.","illinois",168098,29834,17
2010,"UnitedHealth Group, Inc.","indiana",158433,26121,16
2010,"UnitedHealth Group, Inc.","iowa",65069,21192,32
2010,"UnitedHealth Group, Inc.","kansas",43133,3875,8
2010,"UnitedHealth Group, Inc.","kentucky",114447,2739,2
2010,"UnitedHealth Group, Inc.","louisiana",161167,3472,2
2010,"UnitedHealth Group, Inc.","maine",32435,4533,13
2010,"UnitedHealth Group, Inc.","maryland",61240,3929,6
2010,"UnitedHealth Group, Inc.","massachusetts",201326,15508,7
2010,"UnitedHealth Group, Inc.","michigan",263108,4941,1
2010,"UnitedHealth Group, Inc.","minnesota",324891,447,0
2010,"UnitedHealth Group, Inc.","mississippi",45169,2419,5
2010,"UnitedHealth Group, Inc.","missouri",205869,53120,25
2010,"UnitedHealth Group, Inc.","montana",29046,4362,15
2010,"UnitedHealth Group, Inc.","nebraska",29654,17012,57
2010,"UnitedHealth Group, Inc.","nevada",106761,62044,58
2010,"UnitedHealth Group, Inc.","new hampshire",15047,4320,28
2010,"UnitedHealth Group, Inc.","new jersey",163133,39847,24
2010,"UnitedHealth Group, Inc.","new mexico",76600,8607,11
2010,"UnitedHealth Group, Inc.","new york",894879,102537,11
2010,"UnitedHealth Group, Inc.","north carolina",258304,75972,29
2010,"UnitedHealth Group, Inc.","north dakota",8058,1305,16
2010,"UnitedHealth Group, Inc.","ohio",624094,79647,12
2010,"UnitedHealth Group, Inc.","oklahoma",88788,26552,29
2010,"UnitedHealth Group, Inc.","oregon",255304,33749,13
2010,"UnitedHealth Group, Inc.","pennsylvania",859134,27781,3
2010,"UnitedHealth Group, Inc.","rhode island",62850,29223,46
2010,"UnitedHealth Group, Inc.","south carolina",120077,8286,6
2010,"UnitedHealth Group, Inc.","south dakota",9711,1764,18
2010,"UnitedHealth Group, Inc.","tennessee",254006,50440,19
2010,"UnitedHealth Group, Inc.","texas",574725,185296,32
2010,"UnitedHealth Group, Inc.","utah",92512,28904,31
2010,"UnitedHealth Group, Inc.","vermont",4262,2225,52
2010,"UnitedHealth Group, Inc.","virginia",157824,24954,15
2010,"UnitedHealth Group, Inc.","washington",239936,69190,28
2010,"UnitedHealth Group, Inc.","west virginia",73253,991,1
