"year","Parent.Organization","State.Name","Enrolled.x","Enrolled.y","percent"
2010,"WellCare Health Plans, Inc.","alabama",0,0,0
2010,"WellCare Health Plans, Inc.","alaska",0,0,0
2010,"WellCare Health Plans, Inc.","arizona",0,0,0
2010,"WellCare Health Plans, Inc.","arkansas",0,0,0
2010,"WellCare Health Plans, Inc.","california",0,0,0
2010,"WellCare Health Plans, Inc.","colorado",0,0,0
2010,"WellCare Health Plans, Inc.","connecticut",102618,2858,2
2010,"WellCare Health Plans, Inc.","delaware",0,0,0
2010,"WellCare Health Plans, Inc.","district of columbia",0,0,0
2010,"WellCare Health Plans, Inc.","florida",1007528,60744,6
2010,"WellCare Health Plans, Inc.","georgia",254942,5779,2
2010,"WellCare Health Plans, Inc.","hawaii",85380,596,0
2010,"WellCare Health Plans, Inc.","idaho",0,0,0
2010,"WellCare Health Plans, Inc.","illinois",168098,10467,6
2010,"WellCare Health Plans, Inc.","indiana",158433,752,0
2010,"WellCare Health Plans, Inc.","iowa",0,0,0
2010,"WellCare Health Plans, Inc.","kansas",0,0,0
2010,"WellCare Health Plans, Inc.","kentucky",0,0,0
2010,"WellCare Health Plans, Inc.","louisiana",161167,3271,2
2010,"WellCare Health Plans, Inc.","maine",0,0,0
2010,"WellCare Health Plans, Inc.","maryland",0,0,0
2010,"WellCare Health Plans, Inc.","massachusetts",0,0,0
2010,"WellCare Health Plans, Inc.","michigan",0,0,0
2010,"WellCare Health Plans, Inc.","minnesota",0,0,0
2010,"WellCare Health Plans, Inc.","mississippi",0,0,0
2010,"WellCare Health Plans, Inc.","missouri",205869,1150,0
2010,"WellCare Health Plans, Inc.","montana",0,0,0
2010,"WellCare Health Plans, Inc.","nebraska",0,0,0
2010,"WellCare Health Plans, Inc.","nevada",0,0,0
2010,"WellCare Health Plans, Inc.","new hampshire",0,0,0
2010,"WellCare Health Plans, Inc.","new jersey",163133,1588,0
2010,"WellCare Health Plans, Inc.","new mexico",0,0,0
2010,"WellCare Health Plans, Inc.","new york",894879,19018,2
2010,"WellCare Health Plans, Inc.","north carolina",0,0,0
2010,"WellCare Health Plans, Inc.","north dakota",0,0,0
2010,"WellCare Health Plans, Inc.","ohio",624094,2720,0
2010,"WellCare Health Plans, Inc.","oklahoma",0,0,0
2010,"WellCare Health Plans, Inc.","oregon",0,0,0
2010,"WellCare Health Plans, Inc.","pennsylvania",0,0,0
2010,"WellCare Health Plans, Inc.","rhode island",0,0,0
2010,"WellCare Health Plans, Inc.","south carolina",0,0,0
2010,"WellCare Health Plans, Inc.","south dakota",0,0,0
2010,"WellCare Health Plans, Inc.","tennessee",0,0,0
2010,"WellCare Health Plans, Inc.","texas",574725,5411,0
2010,"WellCare Health Plans, Inc.","utah",0,0,0
2010,"WellCare Health Plans, Inc.","vermont",0,0,0
2010,"WellCare Health Plans, Inc.","virginia",0,0,0
2010,"WellCare Health Plans, Inc.","washington",0,0,0
2010,"WellCare Health Plans, Inc.","west virginia",0,0,0
2010,"WellCare Health Plans, Inc.","wisconsin",0,0,0
2010,"WellCare Health Plans, Inc.","wyoming",0,0,0
2011,"WellCare Health Plans, Inc.","alabama",0,0,0
2011,"WellCare Health Plans, Inc.","alaska",0,0,0
2011,"WellCare Health Plans, Inc.","arizona",0,0,0
2011,"WellCare Health Plans, Inc.","arkansas",0,0,0
2011,"WellCare Health Plans, Inc.","california",0,0,0
2011,"WellCare Health Plans, Inc.","colorado",0,0,0
2011,"WellCare Health Plans, Inc.","connecticut",111398,3604,3
2011,"WellCare Health Plans, Inc.","delaware",0,0,0
2011,"WellCare Health Plans, Inc.","district of columbia",0,0,0
2011,"WellCare Health Plans, Inc.","florida",1088491,60677,5
2011,"WellCare Health Plans, Inc.","georgia",277308,9252,3
2011,"WellCare Health Plans, Inc.","hawaii",90690,1724,1
2011,"WellCare Health Plans, Inc.","idaho",0,0,0
2011,"WellCare Health Plans, Inc.","illinois",163722,10018,6
2011,"WellCare Health Plans, Inc.","indiana",174936,606,0
2011,"WellCare Health Plans, Inc.","iowa",0,0,0
2011,"WellCare Health Plans, Inc.","kansas",0,0,0
2011,"WellCare Health Plans, Inc.","kentucky",0,0,0
2011,"WellCare Health Plans, Inc.","louisiana",166932,4040,2
2011,"WellCare Health Plans, Inc.","maine",0,0,0
2011,"WellCare Health Plans, Inc.","maryland",0,0,0
2011,"WellCare Health Plans, Inc.","massachusetts",0,0,0
2011,"WellCare Health Plans, Inc.","michigan",0,0,0
2011,"WellCare Health Plans, Inc.","minnesota",0,0,0
2011,"WellCare Health Plans, Inc.","mississippi",0,0,0
2011,"WellCare Health Plans, Inc.","missouri",214941,1376,0
2011,"WellCare Health Plans, Inc.","montana",0,0,0
2011,"WellCare Health Plans, Inc.","nebraska",0,0,0
2011,"WellCare Health Plans, Inc.","nevada",0,0,0
2011,"WellCare Health Plans, Inc.","new hampshire",0,0,0
2011,"WellCare Health Plans, Inc.","new jersey",172628,1555,0
2011,"WellCare Health Plans, Inc.","new mexico",0,0,0
2011,"WellCare Health Plans, Inc.","new york",935902,20569,2
2011,"WellCare Health Plans, Inc.","north carolina",0,0,0
2011,"WellCare Health Plans, Inc.","north dakota",0,0,0
2011,"WellCare Health Plans, Inc.","ohio",646372,2901,0
2011,"WellCare Health Plans, Inc.","oklahoma",0,0,0
2011,"WellCare Health Plans, Inc.","oregon",0,0,0
2011,"WellCare Health Plans, Inc.","pennsylvania",0,0,0
2011,"WellCare Health Plans, Inc.","rhode island",0,0,0
2011,"WellCare Health Plans, Inc.","south carolina",0,0,0
2011,"WellCare Health Plans, Inc.","south dakota",0,0,0
2011,"WellCare Health Plans, Inc.","tennessee",0,0,0
2011,"WellCare Health Plans, Inc.","texas",612186,7724,1
2011,"WellCare Health Plans, Inc.","utah",0,0,0
2011,"WellCare Health Plans, Inc.","vermont",0,0,0
2011,"WellCare Health Plans, Inc.","virginia",0,0,0
2011,"WellCare Health Plans, Inc.","washington",0,0,0
2011,"WellCare Health Plans, Inc.","west virginia",0,0,0
2011,"WellCare Health Plans, Inc.","wisconsin",0,0,0
2011,"WellCare Health Plans, Inc.","wyoming",0,0,0
2012,"WellCare Health Plans, Inc.","alabama",0,0,0
2012,"WellCare Health Plans, Inc.","alaska",0,0,0
2012,"WellCare Health Plans, Inc.","arizona",0,0,0
2012,"WellCare Health Plans, Inc.","arkansas",0,0,0
2012,"WellCare Health Plans, Inc.","california",0,0,0
2012,"WellCare Health Plans, Inc.","colorado",0,0,0
2012,"WellCare Health Plans, Inc.","connecticut",127458,4940,3
2012,"WellCare Health Plans, Inc.","delaware",0,0,0
2012,"WellCare Health Plans, Inc.","district of columbia",0,0,0
2012,"WellCare Health Plans, Inc.","florida",1222488,65457,5
2012,"WellCare Health Plans, Inc.","georgia",317354,15698,4
2012,"WellCare Health Plans, Inc.","hawaii",98560,5196,5
2012,"WellCare Health Plans, Inc.","idaho",0,0,0
2012,"WellCare Health Plans, Inc.","illinois",190319,11384,5
2012,"WellCare Health Plans, Inc.","indiana",0,0,0
2012,"WellCare Health Plans, Inc.","iowa",0,0,0
2012,"WellCare Health Plans, Inc.","kansas",0,0,0
2012,"WellCare Health Plans, Inc.","kentucky",0,0,0
2012,"WellCare Health Plans, Inc.","louisiana",183411,5754,3
2012,"WellCare Health Plans, Inc.","maine",0,0,0
2012,"WellCare Health Plans, Inc.","maryland",0,0,0
2012,"WellCare Health Plans, Inc.","massachusetts",0,0,0
2012,"WellCare Health Plans, Inc.","michigan",0,0,0
2012,"WellCare Health Plans, Inc.","minnesota",0,0,0
2012,"WellCare Health Plans, Inc.","mississippi",0,0,0
2012,"WellCare Health Plans, Inc.","missouri",240958,3042,1
2012,"WellCare Health Plans, Inc.","montana",0,0,0
2012,"WellCare Health Plans, Inc.","nebraska",0,0,0
2012,"WellCare Health Plans, Inc.","nevada",0,0,0
2012,"WellCare Health Plans, Inc.","new hampshire",0,0,0
2012,"WellCare Health Plans, Inc.","new jersey",205387,2142,1
2012,"WellCare Health Plans, Inc.","new mexico",0,0,0
2012,"WellCare Health Plans, Inc.","new york",1016317,27935,2
2012,"WellCare Health Plans, Inc.","north carolina",0,0,0
2012,"WellCare Health Plans, Inc.","north dakota",0,0,0
2012,"WellCare Health Plans, Inc.","ohio",719504,4744,0
2012,"WellCare Health Plans, Inc.","oklahoma",0,0,0
2012,"WellCare Health Plans, Inc.","oregon",0,0,0
2012,"WellCare Health Plans, Inc.","pennsylvania",0,0,0
2012,"WellCare Health Plans, Inc.","rhode island",0,0,0
2012,"WellCare Health Plans, Inc.","south carolina",0,0,0
2012,"WellCare Health Plans, Inc.","south dakota",0,0,0
2012,"WellCare Health Plans, Inc.","tennessee",0,0,0
2012,"WellCare Health Plans, Inc.","texas",730141,12890,1
2012,"WellCare Health Plans, Inc.","utah",0,0,0
2012,"WellCare Health Plans, Inc.","vermont",0,0,0
2012,"WellCare Health Plans, Inc.","virginia",0,0,0
2012,"WellCare Health Plans, Inc.","washington",0,0,0
2012,"WellCare Health Plans, Inc.","west virginia",0,0,0
2012,"WellCare Health Plans, Inc.","wisconsin",0,0,0
2012,"WellCare Health Plans, Inc.","wyoming",0,0,0
2013,"WellCare Health Plans, Inc.","alabama",0,0,0
2013,"WellCare Health Plans, Inc.","alaska",0,0,0
2013,"WellCare Health Plans, Inc.","arizona",388581,3849,0
2013,"WellCare Health Plans, Inc.","arkansas",0,0,0
2013,"WellCare Health Plans, Inc.","california",1977873,55108,2
2013,"WellCare Health Plans, Inc.","colorado",0,0,0
2013,"WellCare Health Plans, Inc.","connecticut",140796,7261,5
2013,"WellCare Health Plans, Inc.","delaware",0,0,0
2013,"WellCare Health Plans, Inc.","district of columbia",0,0,0
